filename,width,height,class,xmin,ymin,xmax,ymax
29074544.png,180,180,smile,71,99,112,114
29076100.png,180,180,smile,75,95,103,109
29076103.png,180,180,smile,71,95,103,110
29076105.png,180,180,smile,66,97,104,109
29079830.png,180,180,smile,70,99,111,116
29079831.png,180,180,smile,73,100,110,114
29081734.png,180,180,smile,77,99,110,116
29085910.png,180,180,smile,70,102,114,119
29091532.png,180,180,smile,73,87,103,102
29115800.png,180,180,smile,75,105,107,118
29123128.png,180,180,smile,77,97,110,110
29125343.png,180,180,smile,74,103,107,116
29128536.png,180,180,smile,73,97,107,110
29141828.png,180,180,smile,68,89,107,105
29165656.png,180,180,smile,71,99,108,119
30022142.png,180,180,smile,72,102,114,119
310870.png,180,180,smile,71,99,113,118
34000647.png,180,180,smile,74,91,107,102
34000999.png,180,180,smile,74,96,111,111
34001871.png,180,180,smile,74,94,113,114
34009617.png,180,180,smile,74,94,107,110
34010356.png,180,180,smile,70,102,109,119
35002219.png,180,180,smile,69,94,101,111
37001854.png,180,180,smile,74,95,110,112
37019516.png,180,180,smile,74,99,108,113
37020713.png,180,180,smile,74,96,102,108
37024279.png,180,180,smile,79,82,108,101
37041918.png,180,180,smile,76,102,110,119
37044889.png,180,180,smile,77,96,105,110
37051102.png,180,180,smile,70,105,102,124
43017197.png,180,180,smile,72,99,109,118
43036641.png,180,180,smile,73,96,111,111
43036651.png,180,180,smile,68,85,107,101
43048983.png,180,180,smile,77,88,105,106
43061433.png,180,180,smile,76,90,109,101
43111412.png,180,180,smile,75,96,103,110
45005892.png,180,180,smile,77,96,108,111
45030287.png,180,180,smile,73,99,106,116
5005078.png,180,180,smile,75,90,105,104
5006568.png,180,180,smile,74,104,105,114
5007466.png,180,180,smile,73,83,111,98
51001380.png,180,180,smile,74,96,109,110
51013463.png,180,180,smile,72,100,106,115
5101381.png,180,180,smile,75,97,107,113
5104413.png,180,180,smile,74,91,104,104
5108293.png,180,180,smile,72,94,108,110
5112574.png,180,180,smile,75,92,105,103
5112583.png,180,180,smile,78,96,102,108
5112801.png,180,180,smile,72,98,106,114
5113149.png,180,180,smile,69,93,105,111
5116936.png,180,180,smile,75,89,111,102
5118396.png,180,180,smile,73,99,103,110
5119142.png,180,180,smile,76,91,108,104
5119972.png,180,180,smile,73,83,106,97
5119981.png,180,180,smile,73,96,105,108
5120090.png,180,180,smile,74,102,107,114
5120110.png,180,180,smile,80,98,108,110
5123004.png,180,180,smile,74,93,107,103
5123017.png,180,180,smile,75,88,105,102
5125014.png,180,180,smile,73,98,105,111
5127717.png,180,180,smile,70,92,107,110
5128259.png,180,180,smile,72,93,105,105
5129541.png,180,180,smile,76,90,102,101
5130729.png,180,180,smile,76,90,102,102
5131224.png,180,180,smile,76,97,105,109
5132647.png,180,180,smile,77,96,104,107
5200783.png,180,180,smile,74,107,105,122
52032335.png,180,180,smile,71,100,105,115
5207947.png,180,180,smile,76,94,106,108
5217388.png,180,180,smile,70,91,104,105
5220454.png,180,180,smile,75,94,104,106
5251774.png,180,180,smile,74,100,100,111
55001975.png,180,180,smile,74,98,110,111
55024865.png,180,180,smile,75,95,109,112
55027975.png,180,180,smile,73,82,115,97
55027994.png,180,180,smile,68,88,106,104
55038591.png,180,180,smile,75,100,109,116
55041632.png,180,180,smile,75,94,104,106
55057659.png,180,180,smile,76,99,109,114
55062009.png,180,180,smile,71,86,110,105
55070307.png,180,180,smile,77,105,113,119
55083779.png,180,180,smile,75,95,106,109
56001681.png,180,180,smile,71,101,105,117
5603918.png,180,180,smile,75,102,104,116
5608905.png,180,180,smile,74,97,108,110
5610074.png,180,180,smile,74,94,108,110
61002273.png,180,180,smile,72,99,104,115
61028448.png,180,180,smile,73,98,106,110
61036775.png,180,180,smile,71,108,106,123
61038262.png,180,180,smile,77,95,105,108
61043456.png,180,180,smile,72,102,111,116
62028856.png,180,180,smile,77,96,109,108
6300460.png,180,180,smile,79,91,109,105
67009261.png,180,180,smile,76,109,106,122
67010183.png,180,180,smile,73,99,100,111
744539.png,180,180,smile,76,102,104,116
7458280.png,180,180,smile,75,80,102,94
813076.png,180,180,smile,77,99,107,113
8156635.png,180,180,smile,74,95,110,113
8170873.png,180,180,smile,71,102,110,115
8430572.png,180,180,smile,72,88,107,103
8434183.png,180,180,smile,74,92,111,112
8444765.png,180,180,smile,74,99,102,108
8448716.png,180,180,smile,72,88,109,107
859612.png,180,180,smile,72,97,113,112
8601160.png,180,180,smile,72,87,108,99
860896.png,180,180,smile,72,97,109,113
864168.png,180,180,smile,77,100,107,115
8825061.png,180,180,smile,72,93,112,112
8830032.png,180,180,smile,72,99,110,118
8832889.png,180,180,smile,71,91,108,109
961299.png,180,180,smile,71,91,110,106
